[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
2,11.0,"{0, 9}",3,11.0,"{17, 10, 36}","{0, 17, 36, 9, 10}",11.0,0
3,11.0,"{0, 9, 7}",2,11.0,"{17, 36}","{0, 17, 36, 7, 9}",11.0,0
4,11.0,"{0, 9, 38, 7}",1,11.0,{17},"{0, 17, 38, 7, 9}",11.0,0
5,11.0,"{0, 38, 7, 9, 24}",0,10.5,set(),"{0, 38, 7, 24, 9}",11.0,0
0,16.666666666666664,set(),1,17.166666666666664,{35},{35},17.166666666666664,1
1,16.666666666666664,{9},0,16.666666666666664,set(),{9},16.666666666666664,1
0,16.666666666666664,set(),2,17.166666666666664,"{3, 35}","{3, 35}",17.166666666666664,1
1,16.666666666666664,{9},1,17.166666666666664,{35},"{9, 35}",17.166666666666664,1
2,17.666666666666664,"{0, 9}",0,16.666666666666664,set(),"{0, 9}",17.666666666666664,1
0,16.666666666666664,set(),3,18.0,"{3, 10, 35}","{3, 10, 35}",18.0,1
1,16.666666666666664,{9},2,17.166666666666664,"{3, 35}","{9, 3, 35}",17.166666666666664,1
2,17.666666666666664,"{0, 9}",1,17.166666666666664,{35},"{0, 9, 35}",17.666666666666664,1
3,17.666666666666664,"{0, 9, 28}",0,16.666666666666664,set(),"{0, 9, 28}",17.666666666666664,1
0,16.666666666666664,set(),4,18.0,"{3, 10, 35, 36}","{3, 10, 35, 36}",18.0,1
1,16.666666666666664,{9},3,18.0,"{3, 10, 35}","{9, 10, 3, 35}",18.0,1
2,17.666666666666664,"{0, 9}",2,17.166666666666664,"{3, 35}","{0, 9, 3, 35}",17.666666666666664,1
3,17.666666666666664,"{0, 9, 28}",1,17.166666666666664,{35},"{0, 9, 35, 28}",17.666666666666664,1
4,19.0,"{0, 9, 28, 38}",0,16.666666666666664,set(),"{0, 9, 28, 38}",19.0,1
0,16.666666666666664,set(),5,18.0,"{3, 35, 36, 10, 26}","{3, 35, 36, 26, 10}",18.0,1
1,16.666666666666664,{9},4,18.0,"{3, 10, 35, 36}","{3, 35, 36, 9, 10}",18.0,1
2,17.666666666666664,"{0, 9}",3,18.0,"{3, 10, 35}","{0, 3, 35, 9, 10}",18.5,1
