[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,109.0,set(),1,109.0,set(),set(),109.0,0
1,109.0,set(),0,109.0,set(),set(),109.0,0
0,109.0,set(),2,109.0,set(),set(),109.0,0
1,109.0,set(),1,109.0,set(),set(),109.0,0
2,109.0,set(),0,109.0,set(),set(),109.0,0
0,109.0,set(),3,109.0,set(),set(),109.0,0
1,109.0,set(),2,109.0,set(),set(),109.0,0
2,109.0,set(),1,109.0,set(),set(),109.0,0
3,109.0,set(),0,109.0,set(),set(),109.0,0
0,109.0,set(),4,109.0,set(),set(),109.0,0
1,109.0,set(),3,109.0,set(),set(),109.0,0
2,109.0,set(),2,109.0,set(),set(),109.0,0
3,109.0,set(),1,109.0,set(),set(),109.0,0
4,109.0,set(),0,109.0,set(),set(),109.0,0
0,109.0,set(),5,109.0,set(),set(),109.0,0
1,109.0,set(),4,109.0,set(),set(),109.0,0
2,109.0,set(),3,109.0,set(),set(),109.0,0
3,109.0,set(),2,109.0,set(),set(),109.0,0
4,109.0,set(),1,109.0,set(),set(),109.0,0
5,109.0,set(),0,109.0,set(),set(),109.0,0
0,110.0,set(),1,118.5,{45},{45},118.5,1
1,115.5,{24},0,110.0,set(),{24},115.5,1
0,110.0,set(),2,123.0,"{32, 45}","{32, 45}",123.0,1
1,115.5,{24},1,118.5,{45},"{24, 45}",122.0,1
2,121.0,"{24, 42}",0,110.0,set(),"{24, 42}",121.0,1
0,110.0,set(),3,127.0,"{32, 37, 45}","{32, 37, 45}",127.0,1
1,115.5,{24},2,123.0,"{32, 45}","{24, 32, 45}",126.5,1
2,121.0,"{24, 42}",1,118.5,{45},"{24, 42, 45}",127.0,1
3,125.0,"{24, 42, 28}",0,110.0,set(),"{24, 42, 28}",125.0,1
0,110.0,set(),4,129.5,"{32, 37, 45, 46}","{32, 37, 45, 46}",129.5,1
1,115.5,{24},3,127.0,"{32, 37, 45}","{24, 32, 45, 37}",130.5,1
2,121.0,"{24, 42}",2,123.0,"{32, 45}","{24, 42, 32, 45}",130.5,1
3,125.0,"{24, 42, 28}",1,118.5,{45},"{24, 42, 28, 45}",130.0,1
4,128.5,"{24, 42, 28, 44}",0,110.0,set(),"{24, 42, 28, 44}",128.5,1
0,110.0,set(),5,131.5,"{32, 37, 38, 45, 46}","{32, 37, 38, 45, 46}",131.5,1
1,115.5,{24},4,129.5,"{32, 37, 45, 46}","{32, 37, 24, 45, 46}",132.5,1
2,121.0,"{24, 42}",3,127.0,"{32, 37, 45}","{32, 37, 24, 42, 45}",134.0,1
3,125.0,"{24, 42, 28}",2,123.0,"{32, 45}","{32, 24, 42, 28, 45}",133.5,1
4,128.5,"{24, 42, 28, 44}",1,118.5,{45},"{24, 42, 28, 45, 44}",133.5,1
5,131.5,"{42, 44, 47, 24, 28}",0,110.0,set(),"{24, 42, 44, 28, 47}",131.5,1
0,115.00000000000001,set(),1,123.83333333333336,{45},{45},123.83333333333336,2
1,131.33333333333337,{42},0,115.00000000000001,set(),{42},131.33333333333337,2
0,115.00000000000001,set(),2,129.3333333333334,"{45, 46}","{45, 46}",129.3333333333334,2
