[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,70.0,set(),0,70.0,set(),set(),70.0,0
0,70.0,set(),2,70.0,"{1, 14}","{1, 14}",70.0,0
1,70.0,{5},1,70.0,{14},"{5, 14}",70.0,0
2,70.0,"{3, 5}",0,70.0,set(),"{3, 5}",70.0,0
0,70.0,set(),4,70.0,"{1, 23, 14, 25}","{1, 23, 14, 25}",70.0,0
1,70.0,{5},3,70.0,"{1, 14, 25}","{1, 5, 14, 25}",70.0,0
2,70.0,"{3, 5}",2,70.0,"{1, 14}","{1, 3, 5, 14}",70.0,0
3,70.0,"{9, 3, 5}",1,70.0,{14},"{9, 3, 5, 14}",70.0,0
4,70.0,"{9, 18, 3, 5}",0,70.0,set(),"{9, 18, 3, 5}",70.0,0
0,70.0,set(),6,70.0,"{1, 7, 14, 22, 23, 25}","{1, 23, 22, 7, 25, 14}",70.0,0
1,70.0,{5},5,70.0,"{1, 14, 22, 23, 25}","{1, 5, 22, 23, 25, 14}",70.0,0
2,70.0,"{3, 5}",4,70.0,"{1, 23, 14, 25}","{1, 3, 5, 23, 25, 14}",70.0,0
3,70.0,"{9, 3, 5}",3,70.0,"{1, 14, 25}","{1, 3, 5, 25, 9, 14}",70.0,0
4,70.0,"{9, 18, 3, 5}",2,70.0,"{1, 14}","{1, 18, 3, 5, 9, 14}",70.0,0
5,70.0,"{3, 5, 9, 11, 18}",1,70.0,{14},"{18, 3, 5, 9, 11, 14}",70.0,0
6,70.0,"{3, 5, 9, 10, 11, 18}",0,70.0,set(),"{18, 3, 5, 9, 10, 11}",70.0,0
0,79.5,set(),0,79.5,set(),set(),79.5,1
0,79.5,set(),2,86.5,"{1, 14}","{1, 14}",86.5,1
1,82.0,{18},1,81.0,{14},"{18, 14}",83.5,1
2,96.5,"{18, 5}",0,79.5,set(),"{18, 5}",96.5,1
0,79.5,set(),4,89.5,"{1, 23, 14, 25}","{1, 23, 14, 25}",89.5,1
1,82.0,{18},3,88.5,"{1, 14, 25}","{1, 18, 14, 25}",91.0,1
2,96.5,"{18, 5}",2,86.5,"{1, 14}","{1, 18, 5, 14}",102.5,1
3,99.5,"{18, 3, 5}",1,81.0,{14},"{18, 3, 5, 14}",100.0,1
4,114.0,"{9, 18, 3, 5}",0,79.5,set(),"{9, 18, 3, 5}",114.0,1
0,79.5,set(),6,98.0,"{1, 14, 15, 22, 23, 25}","{1, 22, 23, 25, 14, 15}",98.0,1
1,82.0,{18},5,98.0,"{1, 14, 22, 23, 25}","{1, 18, 22, 23, 25, 14}",100.5,1
2,96.5,"{18, 5}",4,89.5,"{1, 23, 14, 25}","{1, 18, 5, 23, 25, 14}",104.5,1
3,99.5,"{18, 3, 5}",3,88.5,"{1, 14, 25}","{1, 18, 3, 5, 25, 14}",107.0,1
4,114.0,"{9, 18, 3, 5}",2,86.5,"{1, 14}","{1, 18, 3, 5, 9, 14}",114.5,1
5,126.5,"{3, 5, 8, 9, 18}",1,81.0,{14},"{18, 3, 5, 8, 9, 14}",127.0,1
6,129.5,"{3, 5, 8, 9, 18, 31}",0,79.5,set(),"{18, 3, 5, 8, 9, 31}",129.5,1
0,84.9999999999999,set(),0,84.9999999999999,set(),set(),84.9999999999999,2
0,84.9999999999999,set(),2,90.16666666666657,"{1, 14}","{1, 14}",90.16666666666657,2
1,89.33333333333324,{18},1,85.66666666666659,{14},"{18, 14}",89.99999999999991,2
2,123.99999999999982,"{18, 5}",0,84.9999999999999,set(),"{18, 5}",123.99999999999982,2
0,84.9999999999999,set(),4,94.66666666666654,"{1, 23, 14, 25}","{1, 23, 14, 25}",94.66666666666654,2
1,89.33333333333324,{18},3,91.99999999999989,"{1, 14, 25}","{1, 18, 14, 25}",95.99999999999987,2
2,123.99999999999982,"{18, 5}",2,90.16666666666657,"{1, 14}","{1, 18, 5, 14}",128.66666666666652,2
3,128.99999999999983,"{18, 3, 5}",1,85.66666666666659,{14},"{18, 3, 5, 14}",129.33333333333314,2
4,156.3333333333334,"{9, 18, 3, 5}",0,84.9999999999999,set(),"{9, 18, 3, 5}",156.3333333333334,2
0,84.9999999999999,set(),6,107.16666666666653,"{1, 14, 15, 22, 23, 25}","{1, 22, 23, 25, 14, 15}",107.16666666666653,2
1,89.33333333333324,{18},5,105.99999999999986,"{1, 14, 22, 23, 25}","{1, 18, 22, 23, 25, 14}",109.99999999999984,2
